codigo,nombre,descripcion,lista_de_valor_codigo,vigencia
10156,BOMAG,BOMAG,04,S
10157,PH,PH,04,S
10158,HINO,HINO,04,S
10159,RILEY,RILEY,04,S
10160,SETRA,SETRA,04,S
10161,MC CORMICK,MC CORMICK,04,S
10162,FREGUS,FREGUS,04,S
10164,KIAMASTER,KIAMASTER,04,S
10168,LANDINI,LANDINI,04,S
10169,MAGIRUS DEUTZ,MAGIRUS DEUTZ,04,S
10170,DAVID BROWN,DAVID BROWN,04,S
10171,VASSALLI,VASSALLI,04,S
10172,BAKER,BAKER,04,S
10173,CHAMPION,CHAMPION,04,S
10174,CLARK,CLARK,04,S
10175,DAIMLER BENZ,DAIMLER BENZ,04,S
10176,DIAMOND,DIAMOND,04,S
10177,MACK,MACK,04,S
10178,NUFFIELD,NUFFIELD,04,S
10179,MALVES,MALVES,04,S
10181,NEO PLAN,NEO PLAN,04,S
10182,ORENSTEIN  KOPPEL,ORENSTEIN  KOPPEL,04,S
10183,PASQUALI,PASQUALI,04,S
10184,TIMBERJACK,TIMBERJACK,04,S
10185,UNIVERSAL,UNIVERSAL,04,S
10186,ZETOR,ZETOR,04,S
10187,ALASIA,ALASIA,04,S
10188,MASSEY HARRIS,MASSEY HARRIS,04,S
10189,OAKLAND,OAKLAND,04,S
10190,ADAMS,ADAMS,04,S
10191,CHECOSLOVACA,CHECOSLOVACA,04,S
10192,FMS,FMS,04,S
10193,HUSQVARNA,HUSQVARNA,04,S
10194,LAN,LAN,04,S
10195,MARCOPOLO,MARCOPOLO,04,S
10196,MUNDIAL,MUNDIAL,04,S
10197,MZ,MZ,04,S
10198,NORTHWESTERN,NORTHWESTERN,04,S
10199,RUMANO,RUMANO,04,S
10200,SATOH BISON,SATOH BISON,04,S
10201,STEYR,STEYR,04,S
10202,SLC,SLC,04,S
10203,YALE,YALE,04,S
10204,BRASOV,BRASOV,04,S
10205,HENKEL,HENKEL,04,S
10206,NIELSON,NIELSON,04,S
10207,OLIVER,OLIVER,04,S
10208,SIMSON,SIMSON,04,S
10209,TEMPO,TEMPO,04,S
10210,VELAR,VELAR,04,S
10211,LANZ,LANZ,04,S
10212,BENELLI,BENELLI,04,S
10213,COLE,COLE,04,S
10214,GEMINIS,GEMINIS,04,S
10215,VOLGA,VOLGA,04,S
10216,ZT,ZT,04,S
10217,FIAT ALLIS,FIAT ALLIS,04,S
10218,MINNEAPOLIS,MINNEAPOLIS,04,S
10219,BERLIET,BERLIET,04,S
10220,CLAEYS,CLAEYS,04,S
10221,GROVE,GROVE,04,S
10222,KENWORTH,KENWORTH,04,S
10223,PUCH,PUCH,04,S
10224,TREE FARMER,TREE FARMER,04,S
10225,ZANELLO,ZANELLO,04,S
10226,RAMBLER,RAMBLER,04,S
10227,AUGUSTA,AUGUSTA,04,S
10228,BELAMS,BELAMS,04,S
10229,WHITE,WHITE,04,S
10230,EBRO,EBRO,04,S
10231,HOREX,HOREX,04,S
10232,KUBOTA,KUBOTA,04,S
10233,BUSSING,BUSSING,04,S
10234,CROSMOBILE,CROSMOBILE,04,S
10235,MICHIGAN,MICHIGAN,04,S
10236,NORTON,NORTON,04,S
10237,OSSA,OSSA,04,S
10238,RAMSOMES,RAMSOMES,04,S
10239,WADENA,WADENA,04,S
10240,YERICA,YERICA,04,S
10241,FUJI,FUJI,04,S
10242,GUIZZU,GUIZZU,04,S
10243,SOMECA,SOMECA,04,S
10244,ARIEL,ARIEL,04,S
10245,LANCER,LANCER,04,S
10246,LEYLAND,LEYLAND,04,S
10247,CBT,CBT,04,S
10248,HYSTER,HYSTER,04,S
10249,SIAM,SIAM,04,S
10250,BERNARDIN,BERNARDIN,04,S
10251,KARMANN MOBIL,KARMANN MOBIL,04,S
10252,NEW HOLLAND,NEW HOLLAND,04,S
10253,ITALJET,ITALJET,04,S
10254,AUTOBIANCHI,AUTOBIANCHI,04,S
10255,SACKS,SACKS,04,S
10256,CONY,CONY,04,S
10257,NEGRINI,NEGRINI,04,S
10258,PETERBILT,PETERBILT,04,S
10259,CUMMINS,CUMMINS,04,S
10260,GAZ,GAZ,04,S
10261,INTERMACORVIT,INTERMACORVIT,04,S
10262,MACHINE,MACHINE,04,S
10263,BUCYRUS ERIE,BUCYRUS ERIE,04,S
10264,PACKARD,PACKARD,04,S
10265,REO,REO,04,S
10266,TORTONE,TORTONE,04,S
10267,AUSTIN WESTERN,AUSTIN WESTERN,04,S
10268,COCK SHUTT,COCK SHUTT,04,S
10269,LEGNANO,LEGNANO,04,S
10270,GLADIATOR,GLADIATOR,04,S
10271,JCB,JCB,04,S
10272,STEYR DAIMLER,STEYR DAIMLER,04,S
10273,TOW MOTOR,TOW MOTOR,04,S
10274,BARREIRO,BARREIRO,04,S
10275,JOWETT JOVELIN,JOWETT JOVELIN,04,S
10276,KW DART,KW DART,04,S
10277,MGB,MGB,04,S
10278,PETTIBONE,PETTIBONE,04,S
10279,RANGE ROVER,RANGE ROVER,04,S
10280,RAMIREZ,RAMIREZ,04,S
10281,TIM,TIM,04,S
10282,UNION,UNION,04,S
10283,ANDINA,ANDINA,04,S
10284,CAMPERO,CAMPERO,04,S
10285,HOLDEN,HOLDEN,04,S
10286,MORINI,MORINI,04,S
10287,ZODIAC,ZODIAC,04,S
10288,CHASESIDE,CHASESIDE,04,S
10289,CLIMAX,CLIMAX,04,S
10290,CZ,CZ,04,S
10291,GURGEL,GURGEL,04,S
10292,HEICHER,HEICHER,04,S
10293,SUNDABELLA,SUNDABELLA,04,S
10294,VICTORIA AVANTI,VICTORIA AVANTI,04,S
10295,PAIGE,PAIGE,04,S
10296,VARZAVA,VARZAVA,04,S
10297,AUTOCAR,AUTOCAR,04,S
10298,ALBION,ALBION,04,S
10299,BETA,BETA,04,S
10300,BUSH HOG,BUSH HOG,04,S
10301,BENOTTO,BENOTTO,04,S
10302,BROCKWAY,BROCKWAY,04,S
10303,BARBER GREENE,BARBER GREENE,04,S
10304,BLAW KNOX,BLAW KNOX,04,S
10305,DYNAPAC,DYNAPAC,04,S
10306,FARMALL,FARMALL,04,S
10307,FORTSCHRITT,FORTSCHRITT,04,S
10308,FUCHE,FUCHE,04,S
10309,GALERI,GALERI,04,S
10310,INGERSOLL RAND,INGERSOLL RAND,04,S
10311,KASSBOHRER,KASSBOHRER,04,S
10312,LILAC,LILAC,04,S
